aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,shooting_accuracy,shot_on_target,tackle_success

"2,061",60,616,Arsenal,438,21%,1.41,1.79,336,84%,629.52,38%,176,69%

"2,588",38,865,Stoke City,481,24%,1.86,0.97,361,73%,351.90,33%,104,66%

"2,357",28,811,West Ham United,574,21%,1.86,1.24,368,75%,373.79,38%,102,67%

"2,025",61,624,Tottenham Hotspur,651,20%,0.83,1.90,277,84%,576.62,33%,168,63%

"2,405",33,735,Watford,550,23%,1.62,1.34,359,76%,418.00,27%,95,64%

"2,114",34,681,Southampton,641,21%,1.41,1.00,355,79%,475.55,29%,104,70%

"2,219",27,756,West Bromwich Albion,608,24%,1.48,0.76,363,72%,345.72,30%,86,65%

"2,390",36,914,Newcastle United,456,21%,1.38,0.93,328,72%,356.93,34%,119,67%

"2,069",20,724,Swansea City,528,20%,1.45,0.86,298,78%,417.03,29%,72,68%

"2,142",27,976,Everton,459,24%,1.69,1.14,416,74%,386.41,33%,87,71%

"2,359",37,746,Crystal Palace,582,25%,1.59,0.93,426,75%,371.31,29%,109,65%

"2,274",31,722,Leicester City,534,19%,1.45,1.41,303,74%,395.66,34%,107,67%

"2,039",46,563,Chelsea,565,20%,0.90,1.72,302,84%,556.28,38%,175,67%

"2,269",21,813,Huddersfield Town,559,16%,1.72,0.86,381,74%,387.86,33%,87,68%

"1,977",64,585,Liverpool,570,23%,1.10,2.31,304,83%,593.55,37%,184,72%

"2,079",48,686,Manchester United,598,20%,0.76,1.93,348,83%,519.79,36%,146,65%

"1,915",76,449,Manchester City,532,21%,0.69,2.86,267,89%,733.21,42%,212,66%

"2,060",23,783,AFC Bournemouth,522,21%,1.52,1.17,288,77%,423.62,35%,119,66%

"2,165",30,838,Brighton and Hove Albion,531,22%,1.31,0.97,351,76%,400.52,30%,90,64%

"2,335",25,913,Burnley,535,27%,0.90,0.83,317,70%,352.10,32%,94,67%

