aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,season,shooting_accuracy,shot_on_target,tackle_success
"1,853",38,519,Arsenal,548,22%,1.29,1.43,258,84%,507.11,2019/20,35%,109,58%
"2,489",72,762,Arsenal,605,21%,1.34,1.92,412,83%,547.50,2018/19,36%,170,60%
"2,660",81,829,Arsenal,572,21%,1.34,1.95,427,84%,619.05,2017/18,39%,234,68%
"2,762",55,838,Arsenal,697,22%,1.16,2.03,536,84%,563.00,2016/17,36%,201,70%
"2,785",88,849,Arsenal,754,25%,0.95,1.71,734,84%,559.18,2015/16,37%,211,73%
"3,242",66,"1,006",Arsenal,866,20%,0.95,1.87,762,84%,540.18,2014/15,37%,227,75%
"2,777",62,"1,207",Arsenal,753,22%,1.08,1.79,541,86%,567.39,2013/14,41%,213,74%
"2,840",70,873,Arsenal,951,19%,0.97,1.89,636,86%,555.53,2012/13,34%,205,79%
"2,336",97,766,Arsenal,896,22%,1.29,1.95,605,85%,542.45,2011/12,37%,236,74%
"2,636",99,"1,077",Arsenal,928,19%,1.13,1.89,709,84%,530.26,2010/11,36%,238,74%
"2,900",0,"1,091",Arsenal,"1,023",18%,1.08,2.18,839,81%,507.66,2009/10,35%,233,75%
"2,709",0,"1,280",Arsenal,"1,069",21%,0.97,1.79,872,83%,499.76,2008/09,33%,220,75%
"2,527",0,"1,840",Arsenal,888,24%,0.82,1.95,505,83%,495.55,2007/08,33%,208,75%
"2,414",0,"1,202",Arsenal,873,21%,0.92,1.66,214,81%,485.74,2006/07,35%,226,74%
0,0,0,Arsenal,0,0%,0.82,1.79,0,0%,0.00,2005/06,0%,0,0%
0,0,0,Arsenal,0,0%,0.95,2.29,0,0%,0.00,2004/05,0%,0,0%
0,0,0,Arsenal,0,0%,0.68,1.92,0,0%,0.00,2003/04,0%,0,0%
0,0,0,Arsenal,0,0%,1.11,2.24,0,0%,0.00,2002/03,0%,0,0%
101,0,28,Arsenal,17,12%,0.95,2.08,19,75%,8.24,2001/02,44%,4,77%
0,0,0,Arsenal,0,0%,1.00,1.66,0,0%,0.00,2000/01,0%,0,0%
0,0,0,Arsenal,0,0%,1.13,1.92,0,0%,0.00,1999/00,0%,0,0%
0,0,0,Arsenal,0,0%,0.45,1.55,0,0%,0.00,1998/99,0%,0,0%
0,0,0,Arsenal,0,0%,0.87,1.79,0,0%,0.00,1997/98,0%,0,0%
