club_name,drawn,goal,goal_against,lost,points,position,won
Manchester City,3,83,20,1,78,1,25
Manchester United,5,58,23,5,65,2,20
Liverpool,9,68,34,4,60,3,17
Tottenham Hotspur,7,55,24,5,58,4,17
Chelsea,5,52,27,8,56,5,17
Arsenal,6,52,41,10,45,6,13
Burnley,10,27,26,9,43,7,11
Leicester City,10,45,43,10,40,8,10
Everton,7,35,49,13,37,9,10
Watford,6,39,47,13,36,10,10
Brighton and Hove Albion,10,28,40,12,34,11,8
Bournemouth,9,34,44,12,33,12,8
Newcastle United,8,30,40,14,32,13,8
Swansea City,7,25,42,15,31,14,8
Huddersfield Town,7,25,50,15,31,15,8
West Ham United,9,36,57,14,30,16,7
Southampton,13,29,44,12,28,17,5
Crystal Palace,9,28,48,15,27,18,6
Stoke City,9,28,54,14,27,19,6
West Bromwich Albion,11,23,47,16,20,20,3
Chelsea,3,85,33,5,93,1,30
Tottenham Hotspur,8,86,26,4,86,2,26
Manchester City,9,80,39,6,78,3,23
Liverpool,10,78,42,6,76,4,22
Arsenal,6,77,44,9,75,5,23
Manchester United,15,54,29,5,69,6,18
Everton,10,62,44,11,61,7,17
Southampton,10,41,48,16,46,8,12
Bournemouth,10,55,67,16,46,9,12
West Bromwich Albion,9,43,51,17,45,10,12
West Ham United,9,47,64,17,45,11,12
Leicester City,8,48,63,18,44,12,12
Stoke City,11,41,56,16,44,13,11
Crystal Palace,5,50,63,21,41,14,12
Swansea City,5,45,70,21,41,15,12
Burnley,7,39,55,20,40,16,11
Watford,7,40,68,20,40,17,11
Hull City,7,37,80,22,34,18,9
Middlesbrough,13,27,53,20,28,19,5
Sunderland,6,29,69,26,24,20,6
Leicester City,12,68,36,3,81,1,23
Arsenal,11,65,36,7,71,2,20
Tottenham Hotspur,13,69,35,6,70,3,19
Manchester City,9,71,41,10,66,4,19
Manchester United,9,49,35,10,66,5,19
Southampton,9,59,41,11,63,6,18
West Ham United,14,65,51,8,62,7,16
Liverpool,12,63,50,10,60,8,16
Stoke City,9,41,55,15,51,9,14
Chelsea,14,59,53,12,50,10,12
Everton,14,59,55,13,47,11,11
Swansea City,11,42,52,15,47,12,12
Watford,9,40,50,17,45,13,12
West Bromwich Albion,13,34,48,15,43,14,10
Crystal Palace,9,39,51,18,42,15,11
Bournemouth,9,45,67,18,42,16,11
Sunderland,12,48,62,17,39,17,9
Newcastle United,10,44,65,19,37,18,9
Norwich City,7,39,67,22,34,19,9
Aston Villa,8,27,76,27,17,20,3
Chelsea,9,73,32,3,87,1,26
Manchester City,7,83,38,7,79,2,24
Arsenal,9,71,36,7,75,3,22
Manchester United,10,62,37,8,70,4,20
Tottenham Hotspur,7,58,53,12,64,5,19
Liverpool,8,52,48,12,62,6,18
Southampton,6,54,33,14,60,7,18
Swansea City,8,46,49,14,56,8,16
Stoke City,9,48,45,14,54,9,15
Crystal Palace,9,47,51,16,48,10,13
Everton,11,48,50,15,47,11,12
West Ham United,11,44,47,15,47,12,12
West Bromwich Albion,11,38,51,16,44,13,11
Leicester City,8,46,55,19,41,14,11
Newcastle United,9,40,63,19,39,15,10
Sunderland,17,31,53,14,38,16,7
Aston Villa,8,31,57,20,38,17,10
Hull City,11,33,51,19,35,18,8
Burnley,12,28,53,19,33,19,7
Queens Park Rangers,6,42,73,24,30,20,8
Manchester City,5,102,37,6,86,1,27
Liverpool,6,101,50,6,84,2,26
Chelsea,7,71,27,6,82,3,25
Arsenal,7,68,41,7,79,4,24
Everton,9,61,39,8,72,5,21
Tottenham Hotspur,6,55,51,11,69,6,21
Manchester United,7,64,43,12,64,7,19
Southampton,11,54,46,12,56,8,15
Stoke City,11,45,52,14,50,9,13
Newcastle United,4,43,59,19,49,10,15
Crystal Palace,6,33,48,19,45,11,13
Swansea City,9,54,54,18,42,12,11
West Ham United,7,40,51,20,40,13,11
Sunderland,8,41,60,20,38,14,10
Aston Villa,8,39,61,20,38,15,10
Hull City,7,38,53,21,37,16,10
West Bromwich Albion,15,43,59,16,36,17,7
Norwich City,9,28,62,21,33,18,8
Fulham,5,40,85,24,32,19,9
Cardiff City,9,32,74,22,30,20,7
Manchester United,5,86,43,5,89,1,28
Manchester City,9,66,34,6,78,2,23
Chelsea,9,75,39,7,75,3,22
Arsenal,10,72,37,7,73,4,21
Tottenham Hotspur,9,66,46,8,72,5,21
Everton,15,55,40,7,63,6,16
Liverpool,13,71,43,9,61,7,16
West Bromwich Albion,7,53,57,17,49,8,14
Swansea City,13,47,51,14,46,9,11
West Ham United,10,45,53,16,46,10,12
Norwich City,14,41,58,14,44,11,10
Fulham,10,50,60,17,43,12,11
Stoke City,15,34,45,14,42,13,9
Southampton,14,49,60,15,41,14,9
Aston Villa,11,47,69,17,41,15,10
Newcastle United,8,45,68,19,41,16,11
Sunderland,12,41,54,17,39,17,9
Wigan Athletic,9,47,73,20,36,18,9
Reading,10,43,73,22,28,19,6
Queens Park Rangers,13,30,60,21,25,20,4
